Symbol,Name,Country,IPO,Sector,Industry
AACG,ATA Creativity Global American Depositary Shares,China,,Miscellaneous,Service to the Health Industry
AACI,Armada Acquisition Corp. I Common Stock,United States,2021.0,,
AACIU,Armada Acquisition Corp. I Unit,United States,2021.0,,
AACIW,Armada Acquisition Corp. I Warrant,United States,2021.0,,
AADI,Aadi Bioscience Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
AAL,American Airlines Group Inc. Common Stock,United States,,Transportation,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,United States,,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013.0,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,Capital Goods,Industrial Machinery/Components
AAPL,Apple Inc. Common Stock,United States,1980.0,Technology,Computer Manufacturing
AATC,Autoscope Technologies Corporation Common Stock,United States,,Capital Goods,Industrial Machinery/Components
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,United States,,Transportation,Transportation Services
ABCB,Ameris Bancorp Common Stock,United States,1994.0,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020.0,,
ABCM,Abcam plc American Depositary Shares,United Kingdom,2020.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,United States,2021.0,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABMD,ABIOMED Inc. Common Stock,United States,,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,United States,2020.0,Capital Goods,Industrial Machinery/Components
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
ABSI,Absci Corporation Common Stock,United States,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
ABST,Absolute Software Corporation Common Stock,Canada,2020.0,,
ABTX,Allegiance Bancshares Inc. Common Stock,United States,2015.0,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,,
ABVC,ABVC BioPharma Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,1985.0,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,United States,2021.0,,
ACAHU,Atlantic Coastal Acquisition Corp. Unit,United States,2021.0,,
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,United States,2021.0,,
ACB,Aurora Cannabis Inc. Common Shares,Canada,,,
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Hong Kong,2021.0,Miscellaneous,Business Services
ACBAU,Ace Global Business Acquisition Limited Unit,Hong Kong,2021.0,Miscellaneous,Business Services
ACBAW,Ace Global Business Acquisition Limited Warrant,Hong Kong,2021.0,Finance,Business Services
ACBI,Atlantic Capital Bancshares Inc. Common Stock,United States,,Finance,Major Banks
ACCD,Accolade Inc. Common Stock,United States,2020.0,,
ACER,Acer Therapeutics Inc. Common Stock (DE),United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. Common Stock ,United States,2018.0,Health Care,Biotechnology: Pharmaceutical Preparations
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,United States,2020.0,Technology,Semiconductors
ACEVU,ACE Convergence Acquisition Corp. Unit,United States,2020.0,Technology,Semiconductors
ACEVW,ACE Convergence Acquisition Corp. Warrant,United States,2020.0,Technology,Semiconductors
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Bermuda,,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc American Depositary Shares,United Kingdom,2021.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHV,Achieve Life Sciences Inc. Common Shares,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIU,AC Immune SA Common Stock,Switzerland,2016.0,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,United States,,Technology,EDP Services
ACKIT,Ackrell SPAC Partners I Co. Subunits,United States,2021.0,,
ACKIU,Ackrell SPAC Partners I Co. Units,United States,2020.0,,
ACKIW,Ackrell SPAC Partners I Co. Warrants,United States,2021.0,,
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000.0,Technology,Industrial Machinery/Components
ACMR,ACM Research Inc. Class A Common Stock,United States,2017.0,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation Common Stock,United States,,Finance,Major Banks
ACOR,Acorda Therapeutics Inc. Common Stock,United States,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACQR,Independence Holdings Corp. Class A Ordinary Share,United States,2021.0,Finance,Business Services
ACQRU,Independence Holdings Corp. Units,United States,2021.0,Finance,Business Services
ACQRW,Independence Holdings Corp. Warrant,United States,2021.0,Finance,Business Services
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,2015.0,Health Care,Biotechnology: Pharmaceutical Preparations
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,United States,2011.0,Consumer Durables,Specialty Chemicals
ACST,Acasti Pharma Inc. Class A Common Stock,Canada,,,
ACT,Enact Holdings Inc. Common Stock,United States,2021.0,Finance,Specialty Insurers
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,United States,2021.0,,
ACTDU,ArcLight Clean Transition Corp. II Unit,United States,2021.0,,
ACTDW,ArcLight Clean Transition Corp. II Warrant,United States,2021.0,Finance,Business Services
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,,Miscellaneous,Multi-Sector Companies
ACVA,ACV Auctions Inc. Class A Common Stock,United States,2021.0,Technology,EDP Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,United States,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,China,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
ADALU,Anthemis Digital Acquisitions I Corp Unit,United States,2021.0,,
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,United Kingdom,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,United States,1986.0,Technology,Computer Software: Prepackaged Software
ADER,26 Capital Acquisition Corp. Class A Common Stock,United States,2021.0,,
ADERW,26 Capital Acquisition Corp. Warrant,United States,2021.0,,
ADES,Advanced Emissions Solutions Inc. Common Stock,United States,,Basic Industries,Industrial Specialties
ADGI,Adagio Therapeutics Inc. Common Stock,United States,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
ADI,Analog Devices Inc. Common Stock,United States,,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,United States,2018.0,Health Care,Biotechnology: Pharmaceutical Preparations
ADILW,Adial Pharmaceuticals Inc Warrant,United States,2018.0,Health Care,Biotechnology: Pharmaceutical Preparations
ADMA,ADMA Biologics Inc Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
ADMP,Adamis Pharmaceuticals Corporation Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
ADMS,Adamas Pharmaceuticals Inc. Common Stock,United States,2014.0,Health Care,Biotechnology: Pharmaceutical Preparations
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States,2018.0,,
ADNWW,Advent Technologies Holdings Inc. Warrant,United States,2018.0,,
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,United States,2020.0,Finance,Business Services
ADOCR,Edoc Acquisition Corp. Right,United States,2020.0,Finance,Business Services
ADOCW,Edoc Acquisition Corp. Warrant,United States,2020.0,Finance,Business Services
ADP,Automatic Data Processing Inc. Common Stock,United States,,Miscellaneous,Business Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSK,Autodesk Inc. Common Stock,United States,,Technology,Computer Software: Prepackaged Software
ADTN,ADTRAN Inc. Common Stock,United States,1994.0,Capital Goods,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,United States,2020.0,Consumer Durables,Specialty Chemicals
ADUS,Addus HomeCare Corporation Common Stock,United States,2009.0,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,United States,2019.0,Technology,Advertising
ADVM,Adverum Biotechnologies Inc. Common Stock,United States,2014.0,Health Care,Biotechnology: Pharmaceutical Preparations
ADVWW,Advantage Solutions Inc. Warrant,United States,2019.0,Technology,Advertising
ADXN,Addex Therapeutics Ltd American Depositary Shares,Switzerland,,Health Care,Biotechnology: Pharmaceutical Preparations
ADXS,Advaxis Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,United States,2021.0,Finance,Business Services
AEACU,Authentic Equity Acquisition Corp. Unit,United States,2021.0,Finance,Business Services
AEACW,Authentic Equity Acquisition Corp. Warrant,United States,2021.0,Finance,Business Services
AEAEU,AltEnergy Acquisition Corp. Unit,United States,2021.0,,
AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock,United States,2021.0,,
AEHAW,Aesther Healthcare Acquisition Corp Warrants,United States,2021.0,,
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),China,,Capital Goods,Building Products
AEHR,Aehr Test Systems Common Stock,United States,1997.0,Capital Goods,Electrical Products
AEI,Alset EHome International Inc. Common Stock,United States,2020.0,Consumer Services,Building operators
