Symbol,Name,Country,IPO,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,1999.0,Capital Goods,Electrical Products
AA,Alcoa Corporation Common Stock ,,2016.0,Basic Industries,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,,2021.0,Finance,Business Services
AAIC,Arlington Asset Investment Corp Class A (new),United States,,Consumer Services,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,United States,,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,United States,,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,United States,,,
AAN,Aarons Holdings Company Inc. Common Stock ,United States,2020.0,Miscellaneous,Diversified Commercial Services
AAP,Advance Auto Parts Inc.,United States,,Consumer Services,Other Specialty Stores
AAQC,Accelerate Acquisition Corp. Class A Common Stock,,2021.0,,
AAT,American Assets Trust Inc. Common Stock,United States,2011.0,Consumer Services,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,United States,,Finance,Investment Managers
ABB,ABB Ltd Common Stock,Switzerland,,Consumer Durables,Electrical Products
ABBV,AbbVie Inc. Common Stock,United States,2012.0,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,United States,,Health Care,Other Pharmaceuticals
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),,2013.0,Consumer Non-Durables,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,2002.0,Consumer Services,Other Specialty Stores
ABM,ABM Industries Incorporated Common Stock,United States,,Technology,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,United States,2004.0,Consumer Services,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States,,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,United States,,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,United States,,,
ABT,Abbott Laboratories Common Stock,United States,,Health Care,Medical/Dental Instruments
AC,Associated Capital Group Inc. Common Stock,United States,2015.0,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,,2018.0,Capital Goods,Engineering & Construction
ACC,American Campus Communities Inc Common Stock,United States,2004.0,Consumer Services,Real Estate Investment Trusts
ACCO,Acco Brands Corporation Common Stock,United States,,Consumer Services,Advertising
ACEL,Accel Entertainment Inc. ,United States,2017.0,Consumer Services,Recreational Products/Toys
ACH,Aluminum Corporation of China Limited American Depositary Shares,China,2001.0,Basic Industries,Aluminum
ACHR,Archer Aviation Inc. Class A Common Stock,United States,2020.0,Capital Goods,Aerospace
ACI,Albertsons Companies Inc. Class A Common Stock,United States,2020.0,Consumer Services,Food Chains
ACII,Atlas Crest Investment Corp. II Class A Common Stock,,2021.0,,
