Symbol,Name,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,1999,2291394,Capital Goods,Electrical Products
AA,Alcoa Corporation Common Stock ,,2016,7130701,Basic Industries,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,,2021,188898,Finance,Business Services
AAIC,Arlington Asset Investment Corp Class A (new),United States,,208221,Consumer Services,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,United States,,2700,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,United States,,1013,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,United States,,2140,,
AAN,Aarons Holdings Company Inc. Common Stock ,United States,2020,191218,Miscellaneous,Diversified Commercial Services
AAP,Advance Auto Parts Inc.,United States,,360961,Consumer Services,Other Specialty Stores
AAQC,Accelerate Acquisition Corp. Class A Common Stock,,2021,86883,,
AAT,American Assets Trust Inc. Common Stock,United States,2011,85053,Consumer Services,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,United States,,190054,Finance,Investment Managers
ABB,ABB Ltd Common Stock,Switzerland,,1349438,Consumer Durables,Electrical Products
ABBV,AbbVie Inc. Common Stock,United States,2012,5791705,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,United States,,577037,Health Care,Other Pharmaceuticals
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),,2013,18645254,Consumer Non-Durables,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,367656,Consumer Services,Other Specialty Stores
ABM,ABM Industries Incorporated Common Stock,United States,,164761,Technology,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,United States,2004,717060,Consumer Services,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States,,4903,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,United States,,23945,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,United States,,2593,,
ABT,Abbott Laboratories Common Stock,United States,,3729541,Health Care,Medical/Dental Instruments
AC,Associated Capital Group Inc. Common Stock,United States,2015,6028,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,,2018,85120,Capital Goods,Engineering & Construction
ACC,American Campus Communities Inc Common Stock,United States,2004,215935,Consumer Services,Real Estate Investment Trusts
ACCO,Acco Brands Corporation Common Stock,United States,,276700,Consumer Services,Advertising
ACEL,Accel Entertainment Inc. ,United States,2017,130353,Consumer Services,Recreational Products/Toys
ACH,Aluminum Corporation of China Limited American Depositary Shares,China,2001,92960,Basic Industries,Aluminum
ACHR,Archer Aviation Inc. Class A Common Stock,United States,2020,1631701,Capital Goods,Aerospace
ACI,Albertsons Companies Inc. Class A Common Stock,United States,2020,491434,Consumer Services,Food Chains
ACII,Atlas Crest Investment Corp. II Class A Common Stock,,2021,5946,,
ACM,AECOM Common Stock,United States,2007,781975,Consumer Services,Military/Government/Technical
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,2001,2191459,Miscellaneous,Business Services
ACP,Aberdeen Income Credit Strategies Fund Common Shares,United States,2011,128476,Finance,Investment Managers
ACP^A,Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,United States,,632,,
ACR,ACRES Commercial Realty Corp. Common Stock,United States,,30491,Consumer Services,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,United States,,1603,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,United States,,8163,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,2012,263574,Consumer Services,Real Estate Investment Trusts
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,,2021,8095,,
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,2015,32059,Finance,Finance/Investors Services
ADC,Agree Realty Corporation Common Stock,United States,,343543,Consumer Services,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,United States,,11309,,
ADCT,ADC Therapeutics SA Common Shares,,2020,88600,Health Care,Biotechnology: Pharmaceutical Preparations
ADEX,Adit EdTech Acquisition Corp. Common Stock,,2021,1626106,,
ADF,Aldel Financial Inc. Class A Common Stock,,2021,215320,,
ADM,Archer-Daniels-Midland Company Common Stock,United States,,3321921,,
ADNT,Adient plc Ordinary Shares ,,2016,767489,Capital Goods,Auto Parts:O.E.M.
ADS,Alliance Data Systems Corporation Common Stock,United States,2001,460980,Finance,Diversified Financial Services
ADT,ADT Inc. Common Stock,United States,2018,1014220,Consumer Services,Diversified Commercial Services
